"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"VALUE";
"4";"";"TAC_SWITCHPTH";"TACTILE-PTH";"S3, S5, S6, S7";"Momentary Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.1u";"C-USC1206";"C1206";"C1, C2, C3, C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.8"_TFT";"1.8"_TFT";"1.8"_TFT";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10K";"R-EU_R1206";"R1206";"R2, R7, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1N4004";"1N4004";"DO41-10";"D1, D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1k";"R-EU_R1206";"R1206";"R1, R4, R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"282837-2";"282837-2";"TE_282837-2";"P1, P2, P3, P4";"TERM BLOCK 5.08MM 2POS SIDE ENTY Check availability";"In Stock";"282837-2";" Connector Terminal Blocks Receptacle 2 Position 5.08mm Solder Straight Thru-Hole 13.5A/Contact ";"";"";"";"TE Connectivity";"";"";"282837-2";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/282837-2/?ref=eda";"";"";
"1";"5k";"TRIMPOT-PTH-10MM-KNOB-1/2W-10%";"TRIMPOT-PTH-3386U";"VR1";"Trimming Potentiometer (Trimpot)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09730";"";"COM-09806";"10k";
"1";"7805";"7805";"78XXS";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BC546";"BC546";"BC546";"Q1, Q2";"TRANSISTOR, NPN, TO-92";"";"";"TRANSISTOR, NPN, TO-92";"5.33mm";"onsemi";"BC546";"";"512-BC546";"https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/BC546?qs=UMEuL5FsraDWGn9zuahUkw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"1";"EK-TM4C123GXL";"EK-TM4C123GXL";"MODULE_EK-TM4C123GXL";"U2";"ARM® Cortex®-M4F Based MCU TM4C123G LaunchPad™ Evaluation Kit  Check availability";"In Stock";"";" ARM® Cortex®-M4F Based MCU TM4C123G LaunchPad™ Evaluation Kit ";"";"";"";"Texas Instruments";"";"";"EK-TM4C123GXL";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/EK-TM4C123GXL/?ref=eda";"";"";
"1";"ESP8266-01/ESP-01";"ESP8266-01/ESP-01";"XCVR_ESP8266-01/ESP-01";"U1";"MakerFocus 4pcs ESP8266 ESP-01 Serial Wireless WiFi Transceiver Receiver Module 1MB SPI Flash DC3.0-3.6V Internet of Things WiFi Module Board Compatible with Ar duino   Check availability";"Not in stock";"";" MakerFocus 4pcs ESP8266 ESP-01 Serial Wireless WiFi Transceiver Receiver Module 1MB SPI Flash DC3.0-3.6V Internet of Things WiFi Module Board Compatible with Ar duino ";"";"";"";"AI-Thinker";"";"";"ESP8266-01/ESP-01";"";"";"";"Non-Standard AI-Thinker";"";"None";"";"";"";"";
"2";"G5L";"G5L";"G5LE";"K1, K3";"RELAY";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"10";"";"";"";"";"";
